,equity,ret
2012-05-21,1.0,0.0
2012-05-22,0.9988801928275844,-0.0011198071724155545
2012-05-23,1.0007996358852553,0.001921594873392607
2012-05-24,0.994240499552642,-0.006553895602501303
2012-05-25,0.9929609856783462,-0.0012869259247350051
2012-05-29,1.005598966963587,0.012727570838653834
2012-05-30,0.9971201808778302,-0.008431577959311709
2012-05-31,0.9928009344840116,-0.004331720966690322
2012-06-01,0.966404958045642,-0.02658738073417355
2012-06-04,0.973764005857474,0.0076148696781463965
2012-06-05,0.9777635632535685,0.0041073169392542574
2012-06-06,1.0001595689048983,0.02290533876800005
2012-06-07,0.9961604248997492,-0.00399850596793061
2012-06-08,1.005758811462449,0.009635382336801612
2012-06-11,0.9888016526818806,-0.01686006484587632
2012-06-12,1.0007996358852551,0.01213386240894021
2012-06-13,0.9939205349609543,-0.006873604543446765
2012-06-14,0.9975999899683794,0.003701960949594074
2012-06-15,1.00999455288531,0.012424381557304853
2012-06-18,1.0194549357707596,0.00936676624485111
2012-06-19,1.0300373305803332,0.010380443939459472
2012-06-20,1.0308389645218243,0.0007782571734944455
2012-06-21,1.0051840602514546,-0.024887402546206916
2012-06-22,1.0157667995534827,0.010528160682711896
2012-06-25,0.9962049333248635,-0.019258225645116922
2012-06-26,1.0024582981549122,0.006277187173906018
2012-06-27,1.0085513361966627,0.006078096268907318
2012-06-28,0.9973276342338963,-0.011128538092162965
2012-06-29,1.0287545784769658,0.03151115357112344
2012-07-02,1.0318009941501047,0.0029612657254454167
2012-07-03,1.040459329703118,0.008391478203745084
2012-07-05,1.041101119145747,0.0006168328009632518
2012-07-06,1.0281134091207549,-0.012474974607316724
2012-07-09,1.0261891431687218,-0.0018716475584914516
2012-07-10,1.0160875220285703,-0.009843819930660302
2012-07-11,1.0104753954532235,-0.005523270834132843
2012-07-12,1.001015563755701,-0.009361763522484856
2012-07-13,1.01624798661385,0.015216969055904306
2012-07-16,1.0133620355259911,-0.002839809894703893
2012-07-17,1.0186530262353053,0.0052212245217651
2012-07-18,1.0324424391002796,0.013536908554561133
2012-07-19,1.0438267434453077,0.011026575345884693
2012-07-20,1.0300373305803334,-0.013210442203713035
2012-07-23,1.0175303253262724,-0.012142283471429649
2012-07-24,1.0095135725204158,-0.007878637723436888
2012-07-25,1.0027791584269814,-0.006670949531288439
2012-07-26,1.01608752202857,0.013271480055952578
2012-07-27,1.0401390206189756,0.023670695751078608
2012-07-30,1.0393370421850299,-0.0007710300431459371
2012-07-31,1.0390163886084334,-0.00030851741406456856
2012-08-01,1.0359701107322763,-0.0029318862623880504
2012-08-02,1.0322821812104719,-0.0035598802355385484
2012-08-03,1.0518438407436186,0.018949914944970114
2012-08-06,1.059860731346457,0.0076217498190327415
2012-08-07,1.0686799448756954,0.008321106036294434
2012-08-08,1.0681986200183462,-0.0004503919622119712
2012-08-09,1.071405638073747,0.003002267551464932
2012-08-10,1.072046876328449,0.0005985018483334326
2012-08-13,1.0746118982457478,0.0023926397006850397
2012-08-14,1.0750932920015879,0.0004479698732406945
2012-08-15,1.0778188474026575,0.0025351803618784974
2012-08-16,1.0906467818272787,0.011901753671810456
2012-08-17,1.0954569299686798,0.0044103629346818884
2012-08-20,1.0970604734456257,0.0014638124357766458
2012-08-21,1.0927313745676102,-0.003946089557323007
2012-08-22,1.097220249045997,0.004107939593262833
2012-08-23,1.088241604408842,-0.008183083246013467
2012-08-24,1.0949758118068036,0.006188154698992365
2012-08-27,1.0967396820720474,0.0016108760086064322
2012-08-28,1.0967396820720474,0.0
2012-08-29,1.0967396820720474,0.0
2012-08-30,1.085675893506634,-0.010087889356306445
