ticker,coverage,last_price,last_date
AMD,1.0,462.1000061035156,2026-06-09
GOOGL,1.0,365.2449951171875,2026-06-09
IEF,1.0,93.74500274658203,2026-06-09
KLAC,1.0,2103.534912109375,2026-06-09
META,1.0,588.9249877929688,2026-06-09
MSFT,1.0,403.30499267578125,2026-06-09
MU,1.0,898.9400024414062,2026-06-09
NVDA,1.0,205.5749969482422,2026-06-09
QQQ,1.0,702.4500122070312,2026-06-09
SMH,1.0,579.260009765625,2026-06-09
SPY,1.0,733.6900024414062,2026-06-09
STX,1.0,839.219970703125,2026-06-09
VRT,0.5584489102745542,285.3299865722656,2026-06-09
WDC,1.0,506.1600036621094,2026-06-09
XLV,1.0,154.80499267578125,2026-06-09
